category,name,price_inr,orginal_price_inr,discount%
Deyann,Paisley Pattern Sherwani Set,2995,5990,50
Anil Kumar Ajit Kumar,Self-design Sherwani Set,3100,9999,69
Anil Kumar Ajit Kumar,Floral Print Sherwani Set,4000,9999,60
KISAH,Floral Print Sherwani Suit Set,7799,14299,45
KISAH,Men Regular Fit Sherwani with Kurta & Dhoti Pants,6999,11999,42
Anil Kumar Ajit Kumar,Woven Sherwani Set,4000,9999,60
Anil Kumar Ajit Kumar,Woven Sherwani Set,3900,9999,61
Anil Kumar Ajit Kumar,Self-Design Sherwani Set,3967,6399,38
Anil Kumar Ajit Kumar,Embellished Sherwani Set,4959,7999,38
KISAH,Self-design Sherwani Set,6299,10899,42
KISAH,Floral Woven Sherwani Set,8199,17099,52
KISAH,Floral Woven Sherwani Set,7099,14499,51
KISAH,Floral Woven Sherwani Set,5799,13499,57
KISAH,Floral Woven Sherwani Set,5099,12099,58
KISAH,Striped Sherwani Set,4799,10099,52
KISAH,Mandarin-Neck Sherwani Set,5199,8499,39
KISAH,Floral Print Sherwani Set,5299,8999,41
KISAH, Mandarin-Neck Sherwani Set,7999,12499,36
KISAH,Floral Print Sherwani Set,5199,8398,38
KISAH,Sherwani with Kurta & Churidar,6999,10197,31
KISAH,Men Floral Woven Regular Fit Sherwani Set,4699,10999,57
KISAH,Men Regular Fit Sherwani with Churidar & Dupatta,7299,15299,52
KISAH,Men Floral Woven Regular Fit Sherwani with Kurta & Churidar,7699,11499,33
Deyann,Men Regular Fit Sherwani Set with Floral Woven Motifs,4995,9990,50
Deyann,Men Regular Fit Sherwani Set with Woven Motifs,4495,8990,50
Deyann,Men Embroidered Regular Fit Sherwani Set,5995,11990,50
KISAH,Printed Sherwani & Dhoti Set,10600,17497,39
KISAH,Sherwani Set with Geometric Woven Motifs,7699,12997,41
HANGUP PLUS,Buttoned-Up Sherwani with Dhoti,2900,9999,71
KISAH,Men Floral Woven Sherwani with Kurta & Dhoti,10599,16997,38
KISAH,Men Floral Woven Regular Fit Sherwani Set,10099,13399,25
KISAH,Floral Print Sherwani Set,6199,9898,37
KISAH,Printed Mandarin-Neck Sherwani Set,8699,16297,47
KISAH,Men Paisley Woven Sherwani with Kurta & Pyjamas,10999,18097,39
hangup,Jodhpuri Sherwani with Pyjamas,2900,9999,71
HANGUP PLUS,Buttoned-Up Sherwani with Churidar,2900,9999,71
Deyann,Men Embroidered Regular Fit Sherwani Set,5995,11990,50
Deyann,Men Regular Fit Sherwani Set with Woven Motifs,6995,13990,50
Deyann,Men Regular Fit Sherwani Set with Woven Motifs,4995,9990,50
KISAH,Men Floral Woven Regular Fit Sherwani & Churidar Set,4699,9099,48
KISAH,Men Floral Woven Regular Fit Sherwani with Kurta & Churidar,6899,11399,39
KISAH,Men Geometric Woven Regular Fit Sherwani Set,8598,14398,40
KISAH,Men Floral Print Regular Fit Sherwani with Kurta & Churidar,11299,16999,34
KISAH,Men Regular Fit Sherwani Set,10099,16197,38
SOJANYA,Micro Print Sherwani Set,1850,4999,63
ChitwanMohan,Sherwani & Churidar Set,2099,2999,30
KISAH,Floral Woven Sherwani Set,5800,12499,54
HANGUP PLUS,Checked Sherwani & Pyjamas Set,2900,9999,71
ChitwanMohan,Sherwani & Pyjama Set,2519,3599,30
hangup,Printed Sherwani Set,3120,12999,76
KISAH,Jacquard Sherwani Set,7299,13398,46
KISAH,Men Floral Woven Regular Fit Sherwani with Kurta & Dhoti Pants,7999,13599,41
KISAH,Men Paisley Woven Sherwani with Kurta & Dhoti,11199,18597,40
KISAH,Men Floral Woven Regular Fit Sherwani Set,8099,14699,45
KISAH,Embellished Sherwani Churidar Set,4101,10499,61
KISAH,Sherwani Set with Pocket Square,5299,10499,50
KISAH,Men Printed Regular Fit Sherwani Set,10598,16799,37
KISAH,Men Geometric Woven Sherwani & Pyjamas Set,5799,10099,43
hangup,Indian Pattern Sherwani Set,2900,9999,71
hangup,Indian Sherwani Set,2900,9999,71
HANGUP PLUS,Floral Print Sherwani with Pyjamas,2900,9999,71
HANGUP PLUS, Paisley Print Sherwani with Pyjamas ,2900,9999,71
KISAH,Printed Full-Length Sleeve Sherwani Set,5899,9499,38
hangup,Sherwani Set with Patterned Weave,3120,12999,76
HANGUP PLUS,Houndstooth Sherwani with Dhoti,2900,9999,71
SOJANYA,Sherwani Set with Micro Print Detail,3244,5499,41
SOJANYA,Sherwani Set with Micro Print Detail,3244,5499,41
Anil Kumar Ajit Kumar,Embellished Sherwani Set,4000,9999,60
Anil Kumar Ajit Kumar,Embellished Sherwani Set,3900,9999,61
Anil Kumar Ajit Kumar,Embellished Sherwani Set,3900,9999,61
Anil Kumar Ajit Kumar,Mandarin-Neck Sherwani Set,2925,7499,61
Anil Kumar Ajit Kumar,Full-Sleeve Sherwani Set with Pocket Square,2925,7499,61
Anil Kumar Ajit Kumar,Floral Print Sherwani Set,3900,9999,61
Anil Kumar Ajit Kumar,Self-Design Sherwani Set,3967,6399,38
KISAH,Woven Sherwani Set,5699,12099,53
KISAH,Sherwani Set with Floral Woven Motifs ,6699,13799,51
KISAH,Floral Print Sherwani Set,5999,9798,39
